ID_cliente,Abandono,Género_cliente,Cliente_adulto_mayor,Pareja_del_cliente,Dependientes_del_cliente,Antigüedad_cliente
0002-ORFBO,0,Female,0,1,1,9
0003-MKNFE,0,Male,0,0,0,9
0004-TLHLJ,1,Male,0,0,0,4
0011-IGKFF,1,Male,1,1,0,13
0013-EXCHZ,1,Female,1,1,0,3
0013-MHZWF,0,Female,0,0,1,9
0013-SMEOE,0,Female,1,1,0,71
0014-BMAQU,0,Male,0,1,0,63
0015-UOCOJ,0,Female,1,0,0,7
0016-QLJIS,0,Female,0,1,1,65
0017-DINOC,0,Male,0,0,0,54
0017-IUDMW,0,Female,0,1,1,72
0018-NYROU,0,Female,0,1,0,5
0019-EFAEP,0,Female,0,0,0,72
0019-GFNTW,0,Female,0,0,0,56
0020-INWCK,0,Female,0,1,1,71
0020-JDNXP,0,Female,0,1,1,34
0021-IKXGC,0,Female,1,0,0,1
0022-TCJCI,1,Male,1,0,0,45
0023-HGHWL,1,Male,1,0,0,1
0023-UYUPN,0,Female,1,1,0,50
0023-XUOPT,1,Female,0,1,0,13
0027-KWYKW,0,Female,0,1,1,23
0030-FNXPP,0,Female,0,0,0,3
0031-PVLZI,1,Female,0,1,1,4
0032-PGELS,1,Female,0,1,1,1
0036-IHMOT,0,Female,0,1,1,55
0040-HALCW,0,Male,0,1,1,54
0042-JVWOJ,0,Male,0,0,0,26
0042-RLHYP,0,Female,0,1,1,69
0048-LUMLS,0,Male,0,1,1,37
0048-PIHNL,0,Female,0,1,0,49
0052-DCKON,0,Male,0,1,0,66
0052-YNYOT,0,Female,0,0,0,67
0056-EPFBG,0,Male,0,1,1,20
0057-QBUQH,0,Female,0,0,1,43
0058-EVZWM,0,Female,0,1,0,55
0060-FUALY,0,Female,0,1,0,59
0064-SUDOG,0,Female,0,1,1,12
0064-YIJGF,0,Male,0,1,1,27
0067-DKWBL,1,Male,1,0,0,2
0068-FIGTF,0,Female,0,0,0,27
0071-NDAFP,0,Male,0,1,1,25
0074-HDKDG,0,Male,0,1,1,25
0076-LVEPS,0,Male,0,0,1,29
0078-XZMHT,0,Male,0,1,0,72
0080-EMYVY,0,Female,0,0,0,14
0080-OROZO,0,Female,0,0,0,35
0082-LDZUE,0,Male,0,0,0,1
0082-OQIQY,0,Male,0,0,0,29
0083-PIVIK,0,Male,0,0,0,64
0089-IIQKO,0,Female,0,1,1,39
0093-EXYQL,0,Female,1,0,0,40
0093-XWZFY,1,Male,0,0,0,40
0094-OIFMO,1,Female,1,0,0,11
0096-BXERS,0,Female,0,1,0,6
0096-FCPUF,0,Male,0,0,0,30
0098-BOWSO,0,Male,0,0,0,27
0100-DUVFC,0,Male,1,1,0,70
0103-CSITQ,0,Female,0,1,0,57
0104-PPXDV,0,Male,0,1,0,58
0106-GHRQR,0,Male,0,0,0,16
0106-UGRDO,0,Female,0,1,0,69
0107-WESLM,1,Male,0,0,0,1
0107-YHINA,1,Male,0,0,1,1
0111-KLBQG,0,Male,1,1,1,32
0112-QAWRZ,0,Male,0,1,1,16
0112-QWPNC,1,Male,0,1,0,49
0114-IGABW,0,Female,0,1,0,71
0114-PEGZZ,0,Female,0,0,0,33
